Periodo,Esparrago,Maiz amarillo duro,Palta,Uva,Temperatura,Precipitacion,Humedad,IS_esparrago,IS_Maiz amarillo duro,IS_palta,IS_Uva
1/11/2004,8982.50,13561.00,971.00,3423.00,19.90,0.00,74.24,7731.68,6032.00,1849.50,2035.39
1/12/2004,6908.00,10306.50,1027.30,3585.00,22.40,0.60,70.60,7731.68,5540.50,1849.50,2035.39
1/01/2005,9052.00,5883.50,883.00,3772.50,22.00,1.26,70.99,7879.68,6047.50,1849.50,1983.28
1/02/2005,9093.00,5917.00,1012.50,4367.50,24.60,0.57,73.33,7934.68,6901.50,1849.50,1988.28
1/03/2005,9907.20,9016.50,2805.70,4146.50,24.30,0.60,76.63,8094.68,10324.50,1849.50,1913.28
1/04/2005,9089.50,11715.00,2438.20,3963.70,21.60,0.55,76.23,8127.68,11154.50,1849.50,1921.28
1/05/2005,8868.30,7075.20,2341.70,3591.70,19.70,0.20,77.58,8127.68,13944.00,1849.50,1921.28
1/06/2005,7749.00,10712.00,3660.70,4071.60,21.00,1.00,81.82,8177.68,13120.50,1874.50,1921.28
1/07/2005,7932.30,17770.30,2064.60,3612.30,19.60,0.00,78.39,8207.68,10983.00,1939.50,1920.03
1/08/2005,7864.20,31251.00,1822.10,3684.20,19.30,0.20,77.76,8993.68,6969.50,1939.50,1920.03
1/09/2005,8746.80,12857.00,1519.00,3690.00,19.50,0.20,77.79,8998.18,6133.00,2195.50,1920.03
1/10/2005,10509.30,27785.70,1170.60,3493.50,19.70,0.40,74.75,9013.68,3531.00,2203.50,1928.03
1/11/2005,10128.50,8256.00,1014.70,3536.70,20.50,1.40,73.82,9019.68,3542.50,2203.50,1928.03
1/12/2005,7229.80,5853.00,1027.90,3719.80,21.50,0.55,74.46,9024.68,4225.50,2253.50,1928.03
1/01/2006,9471.00,6725.50,890.00,3597.40,24.00,3.40,72.90,9022.68,4698.50,2380.50,1779.03
1/02/2006,10811.00,3065.00,1029.60,4406.50,24.00,0.40,73.07,9102.68,8820.50,2380.50,1729.03
1/03/2006,11100.50,6779.80,3075.30,4009.50,23.50,13.80,77.70,9234.18,11813.50,2387.50,1697.03
1/04/2006,10864.00,7941.30,2315.70,3944.30,22.20,5.40,76.29,9385.18,11593.50,2389.50,1697.03
1/05/2006,9975.10,13796.00,2427.90,3648.50,19.40,3.20,78.63,9401.18,14573.50,2391.50,1697.03
1/06/2006,9121.00,29149.30,3801.80,3938.10,17.10,0.60,81.90,9555.18,13278.00,2391.50,1699.53
1/07/2006,9358.50,24664.50,2103.70,3710.00,17.20,0.40,79.78,9605.18,11016.50,2391.50,1699.53
1/08/2006,9546.50,13389.00,1881.10,3515.50,16.80,0.20,80.25,11589.48,10410.00,2455.50,1720.53
1/09/2006,9124.50,9001.60,1627.50,3399.00,17.20,0.00,79.36,11789.48,10139.50,2545.50,1724.03
1/10/2006,11833.00,38384.00,1084.50,3352.50,17.50,0.00,78.63,12624.48,5788.00,2567.50,1724.03
1/11/2006,15849.70,6966.30,1008.00,3396.77,18.80,1.40,77.09,12771.98,5921.00,2640.50,1724.03
1/12/2006,17455.00,14970.00,1020.80,3523.00,20.10,0.00,74.69,12929.98,4969.00,2680.50,1724.03
1/01/2007,10400.00,6618.00,882.30,3726.00,23.00,8.80,76.13,12938.98,6170.00,2723.50,1724.03
1/02/2007,12050.10,9498.70,1049.70,4134.00,24.60,5.80,72.43,12938.98,11777.00,2743.50,1724.03
1/03/2007,11819.00,5885.50,3768.30,4122.50,24.90,9.00,76.79,12954.98,12481.00,2743.50,1724.03
1/04/2007,11863.90,7977.50,2671.67,3828.00,22.20,0.40,77.09,12974.98,12751.00,2751.50,1724.03
1/05/2007,12026.80,13988.00,2773.00,3736.30,19.70,0.00,79.51,13007.98,13965.50,2753.50,1724.03
1/06/2007,9148.60,48820.80,4054.31,3971.90,19.40,1.00,81.83,13020.48,11350.00,2753.50,1724.03
1/07/2007,9260.50,15547.50,2212.25,3834.70,19.70,0.00,77.70,13042.48,14751.50,2756.50,1727.03
1/08/2007,12133.00,9829.50,2013.50,3595.30,19.40,1.40,81.34,13208.48,14338.00,2774.50,1730.53
1/09/2007,9966.30,13095.00,1696.40,3396.30,19.10,0.00,77.47,13276.48,13598.50,2782.50,1730.53
1/10/2007,13465.40,29172.00,1149.20,3629.00,19.30,0.60,76.43,13337.48,11110.00,2792.50,1737.93
1/11/2007,18378.50,35973.50,992.90,3378.40,18.80,1.40,77.09,13538.48,7958.36,2894.50,1737.93
1/12/2007,17073.00,36189.50,1062.50,3644.50,21.90,0.60,75.22,13716.48,4750.86,3019.50,1737.93
1/01/2008,13634.20,6480.50,931.10,3722.60,24.20,4.60,73.07,13858.68,5793.86,3034.50,1723.43
1/02/2008,13650.00,6264.00,1033.60,4033.60,24.20,5.00,73.74,13999.68,12439.86,3330.50,1741.93
1/03/2008,12412.70,7736.00,3864.00,4280.74,24.20,8.00,74.04,14720.18,13192.86,3342.50,1779.43
1/04/2008,12473.33,7297.00,2877.50,3545.40,22.90,0.80,74.13,14737.18,13609.86,3358.50,1779.43
1/05/2008,14008.90,11523.50,2753.70,3140.20,20.70,1.60,77.95,14793.18,15319.86,3430.50,1796.93
1/06/2008,13897.50,58620.00,3663.01,3006.90,19.60,0.60,81.52,14815.88,12464.00,3444.50,1823.43
1/07/2008,18447.50,15027.30,2089.20,3359.50,18.90,0.60,81.37,14839.88,16357.20,3451.50,1826.43
1/08/2008,13302.50,11813.50,2556.50,3142.50,18.80,0.40,80.52,15090.20,19003.20,3452.50,1828.43
1/09/2008,10518.50,9836.40,2207.20,2979.90,18.90,0.20,79.80,15105.20,18438.90,3533.50,1836.13
1/10/2008,13996.16,25695.00,1461.30,3386.10,19.10,0.60,78.31,15109.20,15692.60,3619.50,1876.13
1/11/2008,13970.08,28137.00,1257.90,3295.20,20.20,0.00,76.62,15128.20,13145.60,3625.50,1896.13
1/12/2008,14275.70,64923.30,1288.16,3392.30,22.20,0.60,77.43,15128.20,5133.20,3750.50,1925.13
1/01/2009,12017.90,6393.30,930.83,3915.50,24.10,0.00,75.94,14778.20,6976.90,3759.50,1927.13
1/02/2009,14262.99,7147.90,2104.59,4251.14,24.80,19.40,77.11,14803.20,11711.90,3818.50,1931.13
1/03/2009,12617.36,7060.00,3404.00,4391.40,24.60,4.40,75.93,14817.20,13593.14,3840.50,1932.13
1/04/2009,12718.80,8481.55,3352.80,3680.63,23.20,0.00,74.47,14877.20,13935.74,4707.50,1946.13
1/05/2009,13146.50,22768.30,3017.83,3657.25,20.50,0.80,79.44,14889.20,13070.34,4823.50,1948.13
1/06/2009,13933.30,44497.60,4482.40,3158.00,18.80,0.00,79.18,14902.20,14021.84,4958.00,1948.13
1/07/2009,16180.90,14743.03,2235.50,3354.80,17.10,0.00,80.18,14902.20,14080.30,4962.00,1948.13
1/08/2009,13238.30,14419.40,2857.60,3326.24,17.20,0.00,80.45,14868.20,13129.00,4972.00,1948.13
1/09/2009,10925.60,19136.50,2497.20,3067.00,17.10,1.60,81.04,14868.20,11882.50,5014.50,1948.13
1/10/2009,14218.80,17606.90,1664.20,3569.92,17.80,0.00,77.76,14872.20,10984.00,5248.00,1956.13
1/11/2009,16744.60,48738.50,1430.75,3410.53,18.60,0.00,76.49,14872.20,6436.00,5257.00,1956.13
1/12/2009,16426.17,15819.80,1390.90,3503.86,19.40,2.80,76.46,14874.20,5863.50,5561.00,1981.73
1/01/2010,12816.00,8417.00,998.50,3936.85,22.20,5.00,77.27,14918.90,6955.50,5595.00,1984.73
1/02/2010,15898.50,7700.50,1198.20,4253.35,24.10,0.00,72.83,14978.40,11650.50,5677.70,1984.73
1/03/2010,12476.60,10252.60,4579.80,4381.15,23.60,2.20,75.66,15084.40,13439.00,5680.70,1989.73
1/04/2010,11692.08,11412.20,6362.65,3685.98,23.10,9.20,80.65,15084.40,13591.40,5787.70,2011.43
1/05/2010,12509.52,15954.00,5488.40,3675.85,21.40,0.00,77.45,14920.40,17636.90,5798.70,2011.43
1/06/2010,13175.30,45486.10,5580.45,3139.40,21.60,0.00,77.65,14920.40,17757.70,6203.70,2011.43
1/07/2010,12823.40,27263.00,2851.43,3373.74,19.20,0.00,80.82,14920.40,15779.70,6704.70,2011.43
1/08/2010,12477.80,14739.70,2870.00,3325.00,17.40,0.00,81.37,14924.40,14880.30,7607.70,2012.43
1/09/2010,13127.00,14475.70,2865.86,3129.08,18.20,0.00,80.90,14925.40,14262.80,7818.70,2012.43
1/10/2010,13705.90,37710.60,2209.10,3582.10,18.60,1.20,76.97,14923.40,11037.50,8133.70,2012.43
1/11/2010,17856.30,49917.60,1877.75,3402.75,19.80,0.00,74.91,14923.40,6358.50,8248.70,2012.43
1/12/2010,16868.60,18193.50,1948.55,3499.10,20.90,1.20,75.27,14923.40,5172.00,8523.70,2093.43
1/01/2011,17125.68,8562.40,860.37,3873.14,23.70,1.20,73.41,15027.40,5705.00,8617.70,2087.43
1/02/2011,16722.00,9432.50,956.58,4206.57,23.80,19.10,73.53,16197.40,8966.80,8631.70,2090.43
1/03/2011,19956.73,8678.90,7073.26,4398.68,24.80,12.40,77.35,16223.40,9137.30,8639.70,2098.93
1/04/2011,23206.28,8528.60,7465.20,3713.10,24.20,4.40,73.75,16683.30,10470.40,8659.70,2099.93
1/05/2011,19238.62,13785.35,10018.44,3692.56,22.00,0.20,75.93,16685.30,14342.00,8741.70,2101.93
1/06/2011,11275.09,37465.90,9506.66,3145.62,22.30,0.60,79.58,16685.30,17664.20,9050.70,2101.93
1/07/2011,14592.40,9622.20,3097.67,3390.29,20.40,0.00,78.05,16685.30,18026.70,9050.70,2101.93
1/08/2011,14233.54,12634.70,3132.45,3388.50,18.50,0.20,80.18,16710.30,17178.10,9090.70,2101.93
1/09/2011,11761.35,13487.05,3154.33,3175.16,18.90,2.00,79.30,17522.30,16219.60,9125.70,2103.93
1/10/2011,16246.80,54270.30,2473.64,3655.11,18.90,3.60,78.41,17602.30,11516.50,9157.70,2103.93
1/11/2011,21135.56,70100.50,2335.98,3496.01,20.70,1.20,75.81,17654.30,5750.50,9172.70,2105.93
1/12/2011,19952.17,13910.90,2334.66,3554.49,21.30,2.20,77.89,17734.30,6324.00,9182.70,2106.93
1/01/2012,12795.80,7668.60,919.25,3887.83,23.90,1.40,75.05,16375.30,9678.70,9183.70,2115.73
1/02/2012,15394.82,7454.00,1053.55,4273.53,24.10,9.65,74.97,16443.30,14079.70,9251.70,2118.73
1/03/2012,18348.02,10194.90,8405.56,4470.19,24.30,12.00,77.32,16443.30,15570.70,9447.70,2118.73
1/04/2012,12945.18,9453.00,10567.40,3773.65,23.40,4.00,75.08,16494.30,16658.70,9676.70,2123.23
1/05/2012,13814.00,38960.30,13151.21,3699.16,23.00,2.20,77.38,16494.30,14870.30,9982.70,2131.23
1/06/2012,13229.58,44599.80,12393.91,3139.06,22.00,2.50,79.17,16694.30,17797.90,10237.70,2131.23
1/07/2012,12507.82,27848.10,6923.29,3389.94,19.70,0.30,79.30,16698.30,17191.80,10298.70,2131.23
1/08/2012,12114.02,15892.00,4191.75,3332.65,18.90,0.10,80.03,16435.80,16102.30,10607.20,2138.23
1/09/2012,14397.28,19362.40,3471.13,3233.26,19.30,1.40,79.25,16125.80,14656.00,10829.20,2138.23
1/10/2012,20855.35,32335.56,2996.27,3692.02,19.40,2.10,78.05,15875.80,12031.00,11047.70,2138.23
1/11/2012,24490.30,71181.80,2778.97,3551.61,20.80,0.60,76.47,15582.80,5785.50,11133.70,2157.23
1/12/2012,17361.53,23579.40,2548.20,3567.19,21.50,4.30,77.23,15295.80,4899.00,11235.70,2157.23
1/01/2013,10467.32,6732.60,920.07,3818.91,24.20,1.60,76.69,15208.30,6800.20,12625.00,2538.05
1/02/2013,16078.98,7181.50,1083.88,4130.58,24.40,0.20,76.42,15308.30,9380.70,12927.00,2541.05
1/03/2013,17770.76,7400.60,4497.91,4166.56,23.80,11.60,77.28,15712.30,14305.70,13114.00,2541.05
1/04/2013,11837.90,12497.30,12289.38,3534.15,22.70,3.60,76.40,15939.30,15516.20,13131.00,2568.85
1/05/2013,13179.50,19916.60,16176.84,3395.34,24.00,4.20,78.83,16074.30,16067.50,13247.50,2568.85
1/06/2013,12371.22,34213.30,14556.89,2838.53,21.70,4.40,78.76,16087.30,19828.50,13254.00,2568.85
1/07/2013,10539.34,40000.00,7717.42,2937.60,19.10,0.60,80.55,16112.30,17328.50,13270.00,2568.85
1/08/2013,13016.83,26103.70,4730.42,3108.80,19.40,0.00,79.88,16234.30,15238.00,13295.00,2575.85
1/09/2013,22636.91,14812.50,4946.47,3019.70,19.80,0.80,79.21,16246.30,14304.00,13414.00,2581.85
1/10/2013,19307.50,30812.70,2985.38,3435.10,20.00,0.60,77.69,16295.30,12273.00,13414.00,2581.85
1/11/2013,24878.10,74623.70,2707.08,3357.82,20.90,0.00,77.13,16417.30,5376.50,13419.00,2581.85
1/12/2013,19314.70,16817.00,2086.60,3350.29,21.80,6.40,76.56,16717.30,4688.80,13436.00,2581.85
1/01/2014,11906.23,7562.10,845.75,3875.68,23.50,18.50,74.90,15679.60,6476.80,13621.50,2555.80
1/02/2014,15625.33,6941.50,984.05,4063.25,26.40,6.00,75.39,15889.60,8553.30,13691.50,2553.30
1/03/2014,19154.50,6776.20,8005.93,4157.80,25.60,15.60,74.65,15444.60,12682.30,13746.50,2553.85
1/04/2014,14678.89,10544.70,16681.44,3565.00,24.40,4.80,74.05,15126.60,12999.30,13806.50,2582.85
1/05/2014,13849.04,19525.70,19734.10,3392.20,24.20,2.80,78.73,14690.60,12502.00,13808.50,2582.85
1/06/2014,13207.10,22314.30,32458.52,2854.40,23.70,0.00,78.61,14445.60,12067.50,13811.50,2588.65
1/07/2014,11047.24,36867.10,11020.59,3008.80,23.20,0.00,78.48,14207.60,9633.00,13811.50,2588.65
1/08/2014,13138.10,11991.80,8270.15,3156.00,22.20,0.40,78.23,14270.60,8772.50,13811.50,2590.65
1/09/2014,15790.24,15891.60,5520.48,3066.80,21.10,0.20,77.10,14300.10,7734.50,13814.50,2596.65
1/10/2014,20093.75,15092.60,3203.77,3416.60,21.30,3.80,78.20,14151.10,7090.00,13864.50,2610.15
1/11/2014,23195.20,34753.80,3255.55,3372.10,21.30,4.20,77.30,14308.10,4759.00,13897.50,2610.15
1/12/2014,18532.20,12402.60,2086.80,3392.00,23.80,10.20,81.03,14317.10,4556.00,13903.50,2614.15
1/01/2015,13072.30,5289.60,855.85,3959.95,25.20,1.80,75.75,14203.30,7394.00,14277.50,3017.25
1/02/2015,18969.89,6546.10,1007.96,4394.65,26.70,15.60,77.14,14256.30,11619.00,14295.50,3017.25
1/03/2015,16596.04,6251.80,7969.80,4533.60,26.30,0.00,77.06,14269.30,12703.50,14399.10,3043.75
1/04/2015,13896.95,11038.40,15345.89,3996.94,24.90,1.00,76.98,14374.30,12631.50,14399.10,3043.75
1/05/2015,13323.87,32913.60,22792.79,3468.40,23.00,0.20,78.85,14437.30,12397.00,14399.10,3043.75
1/06/2015,13145.62,45326.55,31926.73,2939.10,20.30,0.60,79.09,14439.30,13649.00,14402.10,3164.25
1/07/2015,11855.57,12201.80,10707.77,3050.00,19.50,0.60,78.89,14462.30,13186.50,14406.10,3164.25
1/08/2015,12638.02,10528.60,8173.87,3484.40,19.40,0.20,78.61,14613.30,12743.00,14612.30,3164.25
1/09/2015,14779.43,11174.00,5784.60,3465.80,19.40,0.00,78.41,14747.30,12112.50,14625.30,3170.25
1/10/2015,15673.90,41499.40,3243.85,3966.90,19.90,0.00,74.91,14701.30,8040.00,14667.30,3171.25
1/11/2015,17474.60,40826.90,2874.85,4773.57,19.80,0.00,75.80,14742.30,4673.50,14688.30,3173.25
1/12/2015,14771.92,9459.10,2090.86,4865.05,22.40,0.00,73.42,14773.30,5094.50,14698.30,3176.25
1/01/2016,12348.82,5452.50,979.68,4935.69,25.10,0.80,82.13,12313.80,5625.70,14724.80,3192.35
1/02/2016,16396.37,5181.90,1193.68,4693.99,26.20,8.60,75.90,12390.30,9697.20,14726.30,3194.95
1/03/2016,15187.53,7051.20,12159.43,4880.78,26.80,42.60,80.43,12368.80,12428.20,14726.30,3194.95
1/04/2016,13692.87,8989.95,19116.87,4304.02,24.50,10.40,77.04,12369.80,12295.20,14738.30,3194.95
1/05/2016,12703.80,11280.80,40875.16,3476.62,23.80,0.00,76.74,12369.80,13322.70,14836.30,3245.15
1/06/2016,12385.90,45807.70,56279.70,3104.80,20.40,0.00,79.22,12383.80,8793.20,14836.80,3248.75
1/07/2016,11035.46,28415.10,15704.83,3056.77,19.60,0.00,79.46,12398.80,6064.00,14841.80,3253.65
1/08/2016,11131.63,11238.74,12803.72,3636.77,19.00,2.60,82.68,12441.80,5207.50,14907.30,3261.65
1/09/2016,13629.25,9473.35,8110.45,3643.60,18.60,0.80,82.75,12452.80,4850.50,14917.30,3405.65
1/10/2016,15068.80,18475.20,4199.26,4177.40,18.60,0.40,80.94,12519.80,3658.50,14946.30,3450.65
1/11/2016,16979.91,8739.20,3694.97,4886.50,18.50,0.00,77.16,12529.80,3659.00,14950.30,3452.65
1/12/2016,13786.00,5411.20,3096.04,4559.55,22.20,0.00,78.29,12557.80,3724.00,14946.30,3457.65
1/01/2017,12433.30,5510.90,1098.01,5248.20,23.40,16.80,76.35,12484.30,4307.40,14834.20,3429.15
1/02/2017,16361.60,4607.65,1349.44,5052.92,23.70,0.80,73.72,12488.30,8708.90,14838.20,3435.15
1/03/2017,14455.27,5287.30,13843.57,4873.35,23.20,8.20,79.52,12368.30,8308.90,14827.60,3388.95
1/04/2017,13539.90,5660.85,20812.67,3751.40,22.40,10.20,79.44,12368.30,7906.70,14829.60,3388.95
1/05/2017,12474.08,7655.40,45925.48,3570.90,20.70,0.40,82.38,12374.30,7760.20,14841.60,3388.95
1/06/2017,12031.62,30422.30,59758.77,3125.00,18.90,0.00,83.31,12426.30,6961.00,14841.60,3388.95
1/07/2017,10860.35,12224.90,17637.34,3151.30,19.60,0.00,82.83,12501.30,7306.00,14844.60,3404.75
1/08/2017,10942.50,9696.50,14676.96,3796.55,18.00,1.00,83.51,12548.30,6763.00,14865.60,3586.75
1/09/2017,13198.30,3821.50,9340.37,3797.10,18.50,0.20,81.95,12561.30,6995.50,14886.60,3588.25
1/10/2017,14641.10,14120.90,4923.75,4441.48,19.60,0.00,77.55,12565.30,6255.00,14912.10,3588.25
1/11/2017,16563.84,23867.40,4303.00,5445.75,20.60,0.20,77.43,13339.30,4762.50,14966.10,3658.25
1/12/2017,13598.70,15210.05,3601.92,4975.22,21.60,5.60,79.31,13343.30,3899.00,14990.30,3658.25
1/01/2018,10195.50,5848.50,1153.52,5756.00,25.03,6.35,77.41,13606.80,4392.50,15741.20,3682.15
1/02/2018,13264.90,4864.30,1672.21,5567.77,25.55,10.15,75.35,13606.80,7061.50,15741.20,3684.15
1/03/2018,11705.10,4959.25,14079.53,5494.30,25.18,13.90,77.77,13636.20,7838.00,15744.20,3684.15
1/04/2018,11663.60,6098.80,23187.33,4220.10,24.00,6.10,78.05,13643.20,7753.50,15755.20,3684.15
